object_id,class_id,class_name,bbox,area_m2,area_ft2,Ground Truth,score,file,source_file
0,2,House,"[589.1264038085938, 574.9667358398438, 687.6224975585938, 683.1552124023438]",239.0851225,2573.488351,"2,276",0.989903569,"11704 Liberty Rd, Town of Chippewa.png","11704 Liberty Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[1022.6175537109375, 396.0936584472656, 1085.2198486328125, 470.2276916503906]",117.5705626,1265.517778,,0.986259878,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
1,1,Garage,"[1004.4801635742188, 557.0634155273438, 1069.4794921875, 617.7722778320312]",95.79969691,1031.178358,,0.982824445,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
2,1,Garage,"[1094.874755859375, 700.998779296875, 1175.91845703125, 777.4832763671875]",127.6671959,1374.19693,,0.920378864,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
4,1,Garage,"[873.2391967773438, 1138.381103515625, 931.8632202148438, 1196.51953125]",69.53267421,748.4427519,,0.820856929,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
5,1,Garage,"[907.2778930664062, 1087.1331787109375, 957.9961547851562, 1138.1065673828125]",57.77956195,621.9334268,,0.62193507,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
6,2,House,"[651.9835205078125, 567.4105834960938, 734.2344970703125, 709.4050903320312]",298.6789233,3214.950062,2696,0.400089264,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv"
0,2,House,"[757.0653076171875, 173.08670043945312, 821.0902099609375, 237.95050048828125]",77.69674883,836.3200347,,0.958860815,"11788 Forest Rd 169, Town of Chippewa.png","11788 Forest Rd 169, Town of Chippewa.png_objects.csv"
1,1,Garage,"[612.2794799804688, 615.16650390625, 686.3641967773438, 677.6951904296875]",72.92451197,784.9521544,1016,0.427453816,"11788 Forest Rd 169, Town of Chippewa.png","11788 Forest Rd 169, Town of Chippewa.png_objects.csv"
0,2,House,"[152.21859741210938, 654.741455078125, 217.57464599609375, 741.68798828125]",144.4291849,1554.621303,,0.934185445,"11837 Cutoff Rd, Town of Chippewa.png","11837 Cutoff Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[672.2282104492188, 671.462646484375, 739.5458374023438, 767.6214599609375]",166.8705301,1796.177699,1500,0.998840392,"11859 Forest Rd 169, Town of Chippewa.png","11859 Forest Rd 169, Town of Chippewa.png_objects.csv"
1,1,Garage,"[880.4163818359375, 319.92083740234375, 930.8831787109375, 372.448486328125]",68.7833147,740.3767211,,0.99625057,"11859 Forest Rd 169, Town of Chippewa.png","11859 Forest Rd 169, Town of Chippewa.png_objects.csv"
2,1,Garage,"[609.3656616210938, 621.7218017578125, 662.8936157226562, 664.3763427734375]",81.16746654,873.6784931,,0.934000015,"11859 Forest Rd 169, Town of Chippewa.png","11859 Forest Rd 169, Town of Chippewa.png_objects.csv"
0,2,House,"[611.2844848632812, 600.8558959960938, 661.8242797851562, 663.2595825195312]",111.0235269,1195.046141,912,0.563750982,"12049 Stangle Rd, Town of Chippewa.png","12049 Stangle Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[618.8816528320312, 554.2716064453125, 686.1716918945312, 657.8267822265625]",237.7836034,2559.478929,"2,352",0.993518651,"12049 State Hwy 13, Town of Chippewa.png","12049 State Hwy 13, Town of Chippewa.png_objects.csv"
0,2,House,"[86.41777038574219, 57.82939529418945, 130.4690399169922, 134.3069610595703]",118.9509617,1280.376256,,0.997069061,"12146 Stangle Rd, Town of Chippewa.png","12146 Stangle Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[81.39085388183594, 547.2227783203125, 127.47996520996094, 624.7745361328125]",125.5374373,1351.272422,1269,0.999069512,"12202 Stangle Rd, Town of Chippewa.png","12202 Stangle Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[637.8495483398438, 512.2256469726562, 688.6776733398438, 556.2551879882812]",80.97026667,871.5558534,,0.996267021,"12291 Witte Rd, Town of Chippewa.png","12291 Witte Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[627.9644775390625, 593.1392211914062, 671.8460693359375, 669.1017456054688]",116.978963,1259.149859,1152,0.930752993,"12291 Witte Rd, Town of Chippewa.png","12291 Witte Rd, Town of Chippewa.png_objects.csv"
2,2,House,"[608.407470703125, 576.4158325195312, 678.28173828125, 683.7267456054688]",123.013279,1324.102634,,0.707136273,"12385 S Park Rd, Town of Chippewa.png","12385 S Park Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[599.1346435546875, 577.6810302734375, 671.593505859375, 684.2193603515625]",180.2801213,1940.517197,1864,0.993135929,"13647 Mail Route Rd, Town of Chippewa.png","13647 Mail Route Rd, Town of Chippewa.png_objects.csv"
2,1,Garage,"[491.5521240234375, 512.8397827148438, 543.420654296875, 563.3958129882812]",74.34435104,800.2351601,672,0.931970417,"13647 Mail Route Rd, Town of Chippewa.png","13647 Mail Route Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[558.222900390625, 668.1861572265625, 600.2333984375, 728.294921875]",91.93457945,989.5746198,864,0.996022403,"14109 Wagner Vogt Rd, Town of Chippewa.png","14109 Wagner Vogt Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[569.3778686523438, 513.7094116210938, 628.6676635742188, 581.4588012695312]",99.58593441,1071.933039,1120,0.944630802,"14113 Bush Rd, Town of Chippewa.png","14113 Bush Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[752.1945190429688, 1.6607398986816406, 833.8751831054688, 52.927310943603516]",135.7918306,1461.649685,,0.99987185,"14256 Radlinger Rd, Town of Chippewa.png","14256 Radlinger Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[343.3410949707031, 371.9706115722656, 407.1434020996094, 471.9115905761719]",235.6538448,2536.55442,,0.964029968,"14256 Radlinger Rd, Town of Chippewa.png","14256 Radlinger Rd, Town of Chippewa.png_objects.csv"
2,2,House,"[632.9055786132812, 451.6176452636719, 689.0215454101562, 512.2918701171875]",96.39129652,1037.546277,,0.891848266,"14256 Radlinger Rd, Town of Chippewa.png","14256 Radlinger Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[599.6283569335938, 589.7892456054688, 680.3203735351562, 653.7741088867188]",143.6403854,1546.130744,1510,0.999703467,"14322 Radlinger Rd, Town of Chippewa.png","14322 Radlinger Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[464.08245849609375, 1181.671875, 514.53271484375, 1272.243408203125]",153.4609389,1651.838201,,0.992171407,"14322 Radlinger Rd, Town of Chippewa.png","14322 Radlinger Rd, Town of Chippewa.png_objects.csv"
2,2,House,"[577.728515625, 369.6768798828125, 768.9920654296875, 472.3704833984375]",470.3611302,5062.92017,,0.948145032,"14322 Radlinger Rd, Town of Chippewa.png","14322 Radlinger Rd, Town of Chippewa.png_objects.csv"
3,1,Garage,"[738.9047241210938, 654.6458740234375, 771.8639526367188, 697.451904296875]",38.61173457,415.6128497,,0.769427955,"14322 Radlinger Rd, Town of Chippewa.png","14322 Radlinger Rd, Town of Chippewa.png_objects.csv"
7,1,Garage,"[754.5556640625, 506.27984619140625, 790.679931640625, 563.7501831054688]",69.01995454,742.9238887,,0.409121335,"14322 Radlinger Rd, Town of Chippewa.png","14322 Radlinger Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[687.8968505859375, 411.9734191894531, 744.801513671875, 495.8223571777344]",154.2891784,1660.753287,,0.946848392,"14390 Bush Rd, Town of Chippewa.png","14390 Bush Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[492.0540771484375, 718.6947021484375, 591.62109375, 798.1925048828125]",204.5357053,2201.601878,,0.834905863,"14585 Blue Moon Rd, Town of Chippewa.png","14585 Blue Moon Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[606.443359375, 581.4029541015625, 665.23974609375, 659.219482421875]",127.0755963,1367.829011,1456,0.347155184,"14616 Radlinger Rd, Town of Chippewa.png","14616 Radlinger Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[770.1318359375, 609.6160888671875, 880.552734375, 676.3485107421875]",191.2049941,2058.111436,"1,680",0.989858449,"14711 State Hwy 13, Town of Chippewa.png","14711 State Hwy 13, Town of Chippewa.png_objects.csv"
1,1,Garage,"[596.8101196289062, 243.28802490234375, 667.2636108398438, 308.49755859375]",109.1304081,1174.6688,,0.98588866,"14711 State Hwy 13, Town of Chippewa.png","14711 State Hwy 13, Town of Chippewa.png_objects.csv"
0,1,Garage,"[664.390625, 734.2037353515625, 725.7021484375, 813.98583984375]",118.6748818,1277.404561,,0.683041334,"14881 Bush Rd, Town of Chippewa.png","14881 Bush Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[688.473388671875, 478.5909423828125, 783.71435546875, 520.3654174804688]",142.3388663,1532.121322,,0.672995567,"15046 Wagner Vogt Rd, Town of Chippewa.png","15046 Wagner Vogt Rd, Town of Chippewa.png_objects.csv"
0,5,Trailer,"[634.6527709960938, 572.791259765625, 664.0225219726562, 663.03271484375]",95.16865732,1024.385911,992,0.898781478,"15469 Blue Moon Rd, Town of Chippewa.png","15469 Blue Moon Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[673.4407348632812, 468.55780029296875, 806.9977416992188, 594.2785034179688]",243.1474399,2617.214728,2340,0.738874733,"15910 Wagner Vogt Rd, Town of Chippewa.png","15910 Wagner Vogt Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[614.6161499023438, 601.8843383789062, 676.2979125976562, 665.1563110351562]",94.30097789,1015.046296,1120,0.999803245,"65548 Fischer Rd, Town of Chippewa.png","65548 Fischer Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[1142.9189453125, 825.06640625, 1188.317138671875, 883.1666259765625]",72.29347239,778.1597074,,0.97718519,"65548 Fischer Rd, Town of Chippewa.png","65548 Fischer Rd, Town of Chippewa.png_objects.csv"
2,2,House,"[1035.4375, 549.6887817382812, 1112.04052734375, 634.8453979492188]",124.6697579,1341.932807,,0.754686475,"65548 Fischer Rd, Town of Chippewa.png","65548 Fischer Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[175.58358764648438, 652.35546875, 238.59689331054688, 720.6636962890625]",102.9777722,1108.442442,,0.999860406,"65578 Fischer Rd, Town of Chippewa.png","65578 Fischer Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[594.0243530273438, 604.9598388671875, 674.2918090820312, 708.9156494140625]",129.7575145,1396.696911,1152,0.724372983,"65578 Fischer Rd, Town of Chippewa.png","65578 Fischer Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[613.1030883789062, 597.5285034179688, 671.2988891601562, 660.8595581054688]",102.2284127,1100.376411,1024,0.900248647,"73740 Bear Lake Rd, Town of Chippewa.png","73740 Bear Lake Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[591.0101928710938, 602.9842529296875, 645.2638549804688, 656.2880859375]",62.82787862,676.2730027,448,0.990897238,"74278 Bear Lake Rd, Town of Chippewa.png","74278 Bear Lake Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[613.1343383789062, 597.5771484375, 672.9995727539062, 660.0244140625]",85.86082345,924.1973176,858,0.756695151,"75771 West Rd, Town of Chippewa.png","75771 West Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[1141.5667724609375, 1119.28955078125, 1192.4735107421875, 1183.396484375]",110.7080071,1191.649917,,0.994172752,"75850 Chippewa Lake Rd, Town of Chippewa.png","75850 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
1,1,Garage,"[1036.906494140625, 943.9515380859375, 1128.9248046875, 999.4068603515625]",161.1517339,1734.621148,,0.873407543,"75850 Chippewa Lake Rd, Town of Chippewa.png","75850 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[836.314453125, 488.719970703125, 940.5308837890625, 629.91015625]",446.0661062,4801.410961,,0.995815575,"76248 Bear Lake Rd, Town of Chippewa.png","76248 Bear Lake Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[574.6337280273438, 572.4033813476562, 680.9458618164062, 684.2225952148438]",249.3000758,2683.441086,2652,0.988930762,"76745 Bear Lake Rd, Town of Chippewa.png","76745 Bear Lake Rd, Town of Chippewa.png_objects.csv"
2,1,Garage,"[782.030029296875, 686.1865234375, 832.9512939453125, 763.5830078125]",143.2459857,1541.885465,"1,440",0.813067615,"76745 Bear Lake Rd, Town of Chippewa.png","76745 Bear Lake Rd, Town of Chippewa.png_objects.csv"
3,1,Garage,"[1129.05517578125, 820.056396484375, 1153.844482421875, 877.912109375]",47.6829286,513.2542751,,0.762084782,"76745 Bear Lake Rd, Town of Chippewa.png","76745 Bear Lake Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[511.9527893066406, 658.528076171875, 598.3311767578125, 738.0460205078125]",149.3986216,1608.111823,,0.872124672,"76824 West Rd, Town of Chippewa.png","76824 West Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[511.869140625, 657.0804443359375, 598.7906494140625, 805.708740234375]",249.2211959,2682.59203,,0.861996174,"76824 West Rd, Town of Chippewa.png","76824 West Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[822.5872192382812, 939.3487548828125, 882.8095092773438, 993.3587646484375]",108.2627287,1165.329185,,0.987517059,"77056 Chippewa Lake Rd, Town of Chippewa.png","77056 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
1,1,Garage,"[899.0228881835938, 1005.4569702148438, 959.6093139648438, 1049.1751708984375]",92.60505901,996.7915947,,0.987050533,"77056 Chippewa Lake Rd, Town of Chippewa.png","77056 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
2,1,Garage,"[915.33349609375, 1076.4852294921875, 949.1422119140625, 1099.9390869140625]",26.97694223,290.3771085,,0.85897243,"77056 Chippewa Lake Rd, Town of Chippewa.png","77056 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[1251.823974609375, 1182.111328125, 1277.064208984375, 1226.658935546875]",36.04813626,388.0185339,,0.995317698,"77234 Chippewa Lake Rd, Town of Chippewa.png","77234 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[618.9590454101562, 596.9791870117188, 678.6973266601562, 658.9990844726562]",130.546314,1405.18747,1295,0.91653055,"77234 Chippewa Lake Rd, Town of Chippewa.png","77234 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
2,2,House,"[1220.9151611328125, 1004.2538452148438, 1266.0587158203125, 1061.1328125]",78.36722839,843.5370096,,0.33176887,"77234 Chippewa Lake Rd, Town of Chippewa.png","77234 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[772.4877319335938, 645.8309936523438, 826.3711547851562, 716.4395141601562]",125.971277,1355.942229,"1,320",0.989765286,"77805 West Rd, Town of Chippewa.png","77805 West Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[617.2960815429688, 579.0082397460938, 673.6466674804688, 675.0299682617188]",141.7867066,1526.177931,1568,0.938408613,"78214 West Rd, Town of Chippewa.png","78214 West Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[606.6741333007812, 576.6390380859375, 697.7113647460938, 688.451416015625]",275.6065385,2966.60122,2184,0.904554904,"78260 Chippewa Lake Rd, Town of Chippewa.png","78260 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
0,5,Trailer,"[577.9786987304688, 573.8323974609375, 709.4041137695312, 705.13671875]",211.2799409,2274.196155,2376,0.359390199,"78310 Bear Lake Rd, Town of Chippewa.png","78310 Bear Lake Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[604.8402709960938, 584.1367797851562, 677.6559448242188, 655.7484741210938]",132.3605528,1424.715755,1424,0.847554564,"78473 Bear Lake Rd, Town of Chippewa.png","78473 Bear Lake Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[514.6563110351562, 589.1583862304688, 584.0955200195312, 665.0133666992188]",105.5019305,1135.61223,,0.944402277,"78695 Weinberger Rd, Town of Chippewa.png","78695 Weinberger Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[686.4568481445312, 600.95263671875, 760.1609497070312, 679.1932373046875]",132.5577527,1426.838394,1480,0.656286776,"78695 Weinberger Rd, Town of Chippewa.png","78695 Weinberger Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[452.7327575683594, 576.91357421875, 517.0476684570312, 659.101318359375]",111.1418468,1196.319725,,0.925737381,"79112 West Rd, Town of Chippewa.png","79112 West Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[572.787841796875, 572.0706176757812, 726.296142578125, 680.5795288085938]",290.1993289,3123.676556,2824,0.871049225,"80322 Graf Rd, Town of Chippewa.png","80322 Graf Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[0.0, 529.001953125, 101.15496826171875, 656.76318359375]",394.9913399,4251.647283,,0.983071864,"80624 Cemetery Rd, Town of Chippewa.png","80624 Cemetery Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[36.48448944091797, 0.8780250549316406, 87.24369812011719, 88.66453552246094]",153.5792589,1653.111784,,0.489522964,"80624 Cemetery Rd, Town of Chippewa.png","80624 Cemetery Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[328.5179443359375, 994.1572875976562, 409.0360107421875, 1070.745361328125]",189.4696352,2039.432207,,0.963307619,"80919 Zillinger Rd, Town of Chippewa.png","80919 Zillinger Rd, Town of Chippewa.png_objects.csv"
1,1,Garage,"[417.2908935546875, 699.2240600585938, 445.3026123046875, 748.8403930664062]",47.13076896,507.310884,,0.450840592,"80919 Zillinger Rd, Town of Chippewa.png","80919 Zillinger Rd, Town of Chippewa.png_objects.csv"
