object_id,class_id,class_name,bbox,area_m2,area_ft2,Ground Truth,Percentage difference,score,file,source_file
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0,2,House,"[611.2844848632812, 600.8558959960938, 661.8242797851562, 663.2595825195312]",111.0235269,1195.046141,"1,248",-4.243097676,0.563750982,"12049 Stangle Rd, Town of Chippewa.png","12049 Stangle Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[618.8816528320312, 554.2716064453125, 686.1716918945312, 657.8267822265625]",237.7836034,2559.478929,"2,352",8.821383036,0.993518651,"12049 State Hwy 13, Town of Chippewa.png","12049 State Hwy 13, Town of Chippewa.png_objects.csv"
0,2,House,"[81.39085388183594, 547.2227783203125, 127.47996520996094, 624.7745361328125]",125.5374373,1351.272422,1269,6.483248385,0.999069512,"12202 Stangle Rd, Town of Chippewa.png","12202 Stangle Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[627.9644775390625, 593.1392211914062, 671.8460693359375, 669.1017456054688]",116.978963,1259.149859,1152,9.301203038,0.930752993,"12291 Witte Rd, Town of Chippewa.png","12291 Witte Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[599.1346435546875, 577.6810302734375, 671.593505859375, 684.2193603515625]",180.2801213,1940.517197,1864,4.104999839,0.993135929,"13647 Mail Route Rd, Town of Chippewa.png","13647 Mail Route Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[569.3778686523438, 513.7094116210938, 628.6676635742188, 581.4588012695312]",99.58593441,1071.933039,1120,-4.291692946,0.944630802,"14113 Bush Rd, Town of Chippewa.png","14113 Bush Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[599.6283569335938, 589.7892456054688, 680.3203735351562, 653.7741088867188]",143.6403854,1546.130744,1510,2.392764503,0.999703467,"14322 Radlinger Rd, Town of Chippewa.png","14322 Radlinger Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[606.443359375, 581.4029541015625, 665.23974609375, 659.219482421875]",127.0755963,1367.829011,1456,-6.055699794,0.347155184,"14616 Radlinger Rd, Town of Chippewa.png","14616 Radlinger Rd, Town of Chippewa.png_objects.csv"
0,5,Trailer,"[634.6527709960938, 572.791259765625, 664.0225219726562, 663.03271484375]",95.16865732,1024.385911,992,3.26470877,0.898781478,"15469 Blue Moon Rd, Town of Chippewa.png","15469 Blue Moon Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[614.6161499023438, 601.8843383789062, 676.2979125976562, 665.1563110351562]",94.30097789,1015.046296,1120,-9.370866429,0.999803245,"65548 Fischer Rd, Town of Chippewa.png","65548 Fischer Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[594.0243530273438, 604.9598388671875, 674.2918090820312, 708.9156494140625]",129.7575145,1396.696911,1292,8.103476084,0.724372983,"65578 Fischer Rd, Town of Chippewa.png","65578 Fischer Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[613.1030883789062, 597.5285034179688, 671.2988891601562, 660.8595581054688]",102.2284127,1100.376411,1024,7.458633887,0.900248647,"73740 Bear Lake Rd, Town of Chippewa.png","73740 Bear Lake Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[613.1343383789062, 597.5771484375, 672.9995727539062, 660.0244140625]",85.86082345,924.1973176,858,7.715305082,0.756695151,"75771 West Rd, Town of Chippewa.png","75771 West Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[574.6337280273438, 572.4033813476562, 680.9458618164062, 684.2225952148438]",249.3000758,2683.441086,2652,1.185561312,0.988930762,"76745 Bear Lake Rd, Town of Chippewa.png","76745 Bear Lake Rd, Town of Chippewa.png_objects.csv"
2,1,Garage,"[782.030029296875, 686.1865234375, 832.9512939453125, 763.5830078125]",143.2459857,1541.885465,"1,440",7.075379514,0.813067615,"76745 Bear Lake Rd, Town of Chippewa.png","76745 Bear Lake Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[618.9590454101562, 596.9791870117188, 678.6973266601562, 658.9990844726562]",130.546314,1405.18747,1295,8.508684942,0.91653055,"77234 Chippewa Lake Rd, Town of Chippewa.png","77234 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[772.4877319335938, 645.8309936523438, 826.3711547851562, 716.4395141601562]",125.971277,1355.942229,"1,320",2.722896136,0.989765286,"77805 West Rd, Town of Chippewa.png","77805 West Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[617.2960815429688, 579.0082397460938, 673.6466674804688, 675.0299682617188]",141.7867066,1526.177931,1568,-2.667223788,0.938408613,"78214 West Rd, Town of Chippewa.png","78214 West Rd, Town of Chippewa.png_objects.csv"
0,5,Trailer,"[577.9786987304688, 573.8323974609375, 709.4041137695312, 705.13671875]",211.2799409,2274.196155,2376,-4.284673611,0.359390199,"78310 Bear Lake Rd, Town of Chippewa.png","78310 Bear Lake Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[604.8402709960938, 584.1367797851562, 677.6559448242188, 655.7484741210938]",132.3605528,1424.715755,1424,0.050263694,0.847554564,"78473 Bear Lake Rd, Town of Chippewa.png","78473 Bear Lake Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[686.4568481445312, 600.95263671875, 760.1609497070312, 679.1932373046875]",132.5577527,1426.838394,1480,-3.592000405,0.656286776,"78695 Weinberger Rd, Town of Chippewa.png","78695 Weinberger Rd, Town of Chippewa.png_objects.csv"
